Sr.no,imdb_id,original_title,actors,is_adult,year_of_release,runtime,genres,review
1,tt8291224,Uri: The Surgical Strike,"Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam,Kirti Kulhari,Rajit Kapoor,Ivan Rodrigues,Manasi Parekh,Swaroop Sampat,Riva Arora,Yogesh Soman,Fareed Ahmed,Akashdeep Arora,Kallol Banerjee,",Not Adult,2019,Regular Movie,"Action,Drama,War",1
2,tt9472208,Battalion 609,"Vicky Ahuja,Shoaib Ibrahim,Shrikant Kamat,Elena Kazan,Vishwas Kini,Major Kishore,Jashn Kohli,Rammy C. Pandey,Manish Sharma,Sparsh Sharma,Farnaz Shetty,Vikas Shrivastav,Chandraprakash Thakur,Brajesh Tiwari,",Not Adult,2019,Regular Movie,War,5
3,tt6986710,The Accidental Prime Minister,"Anupam Kher,Akshaye Khanna,Aahana Kumra,Atul Sharma,Manoj Anand,Arjun Mathur,Suzanne Bernert,Abdul Quadir Amin,Bharat Mistri,Divya Seth,Anil Rastogi,Ramesh Bhatkar,Parrgash Kaur,Jess Kaur,",Not Adult,2019,Regular Movie,"Biography,Drama",3
4,tt8108208,Why Cheat India,"Emraan Hashmi,Shreya Dhanwanthary,Snighdadeep Chatterji,Navneet Srivastava,Nanda Yadav,",Not Adult,2019,Regular Movie,"Crime,Drama",3
5,tt6028796,Evening Shadows,"Mona Ambegaonkar,Ananth Narayan Mahadevan,Devansh Doshi,Arpit Chaudhary,Yamini Singh,Abhay Kulkarni,Veena Nair,Disha Thakur,Kala Ramanathan,Sushant Divgikar,",Not Adult,2018,Regular Movie,Drama,4
6,tt6078866,Soni,"Geetika Vidya Ohlyan,Saloni Batra,Vikas Shukla,Mohit Chauhan,Himanshu Kohli,Gauri Chakraborty,Mohinder Gujral,Upasya Goswami,Simrat Kaur,Dimple Kaur,Prateek Pachori,Kalpana Jha,Samar,",Not Adult,2018,Regular Movie,Drama,3
7,tt5013008,Fraud Saiyyan,"Arshad Warsi,Saurabh Shukla,Flora Saini,Sara Loren,Varun Badola,Deepali Pansare,Nivedita Tiwari,Peeyush Suhaney,Preeti Sood,Parag Tyagi,Anangsha Biswas,Amanda Rosario,Elli Avrram,",Not Adult,2019,Regular Movie,"Comedy,Drama",5
8,tt4971258,Bombairiya,"Radhika Apte,Akshay Oberoi,Siddhanth Kapoor,Ravi Kishan,Adil Hussain,Shilpa Shukla,Ajinkya Deo,Amit Sial,",Not Adult,2019,Regular Movie,"Comedy,Crime,Drama",5
9,tt6903440,Manikarnika: The Queen of Jhansi,"Kangana Ranaut,Rimi Sen,Atul Kulkarni,Nalneesh Neel,Danny Denzongpa,Mishti,Kulbhushan Kharbanda,Mohammed Zeeshan Ayyub,Anil George,Vikram Kochhar,Edward Sonnenblick,Ankita Lokhande,Richard Keep,Jishu Sengupta,",Not Adult,2019,Regular Movie,"Action,Biography,Drama",3
10,tt7777196,Thackeray,"Nawazuddin Siddiqui,Amrita Rao,Abdul Quadir Amin,Sanjay Narvekar,Prakash Belawadi,Vineet Sharma,Radha Sagar,Sonamoni Jayant Gadekar,Satish Alekar,Micky Makhija,Nikhil Mahajan,Resh Lamba,Jaywant Wadkar,Laxman Singh Rajput,",Not Adult,2019,Regular Movie,"Biography,Drama",3
11,tt8396186,Amavas,"Ali Asgar,Vivan Bhatena,Nargis Fakhri,Sachiin Joshi,Shabnam Karimzada,Kevin Matadeen,",Not Adult,2019,Regular Movie,"Horror,Thriller",5
12,tt2395469,Gully Boy,"Ranveer Singh,Alia Bhatt,Siddhant Chaturvedi,Vijay Raaz,Amruta Subhash,Vijay Varma,Kalki Koechlin,Ikhlaque Khan,Sheeba Chaddha,Jyoti Subhash,Rahul Piske,Nakul Sachdeva,Shruti Chauhan,Aishwarya Desai,",Not Adult,2019,Long Movie,"Drama,Music",1
13,tt9319812,Hum chaar,"Prit Kamani,Simran Sharma,Anshuman Malhotra,Tushar Pandey,Vibha Anand,Jatin Goswami,Jagat Rawat,Sonal Jha,Shailesh Datar,Jayshankar Tripathi,Alok Pandey,Sushant Mohindru,Shahnawaz Pradhan,Amit Kumar Jha,",Not Adult,2019,Regular Movie,Drama,4
14,tt7639372,Total Dhamaal,"Ajay Devgn,Madhuri Dixit,Anil Kapoor,Riteish Deshmukh,Arshad Warsi,Javed Jaffrey,Esha Gupta,Boman Irani,Sanjay Mishra,Vijay Patkar,Pitobash,Mahesh Manjrekar,Ali,",Not Adult,2019,Regular Movie,"Action,Adventure,Comedy",5
15,tt8108200,Sonchiriya,"Sushant Singh Rajput,Bhumi Pednekar,Manoj Bajpayee,Ranvir Shorey,Ashutosh Rana,Gagandev Riar,",Not Adult,2019,Regular Movie,"Action,Crime,Drama",3
16,tt8130968,Badla,"Amitabh Bachchan,Taapsee Pannu,Amrita Singh,Antonio Aakeel,Tony Luke,Tanveer Ghani,Tariqsafdar Hussain,Mark Mansfield,",Not Adult,2019,Regular Movie,"Crime,Drama,Mystery",1
17,tt8055888,Mard Ko Dard Nahin Hota,"Abhimanyu Dasani,Radhika Madan,Prateek Parmar,Satyajit Ganu,",Not Adult,2018,Regular Movie,"Action,Comedy",3
18,tt7527082,Hamid,"Talha Arshad Reshi,Vikas Kumar,Rasika Dugal,Sumit Kaul,Bashir Lone,Gurveer Singh,Ashraf Nagoo,Mir Sarwar,Qazi Faiz,Umar Adil,",Not Adult,2018,Regular Movie,Drama,2
19,tt7778680,Photograph,"Nawazuddin Siddiqui,Sanya Malhotra,Sachin Khedekar,Denzil Smith,Brinda Trivedi,Lubna Salim,Rajesh Kumar Sharma,Shihaan Bakshi,Akash Sinha,Seema Pravin Shende,Robin Das,Bhagwan Das Patel,Ashok Pathak,Amarjeet Singh,",Not Adult,2019,Regular Movie,"Drama,Romance",3
20,tt9795264,Risknamaa,"Garima Agarwal,Anupama,Parveen Bansala,Mahaveer Singh Fauji,Javed Haider,Shahbaaz Khan,Sachin Khari,Pramod Moutho,Aarun Nagar,Khyati Sharma,Ravi Sharma,Shashikant Sharma,",Not Adult,2019,Regular Movie,Thriller,4
21,tt8207768,Mere Pyare Prime Minister,"Rasika Agashe,Sonia Albizuri,Syna Anand,Adarsh Bharti,Makrand Deshpande,Om Kanojiya,Atul Kulkarni,Anjali Patil,Prasad,Nachiket Purnapatre,Niteesh Wadhwa,",Not Adult,2018,Regular Movie,Drama,4
22,tt9496212,22 Yards,"Barun Sobti,Rajit Kapur,Panchhi Bora,Kartikey Tripathi,",Not Adult,2019,Regular Movie,Sport,4
23,tt6264938,Kesari,"Akshay Kumar,Parineeti Chopra,Suvinder Vicky,Vansh Bhardwaj,Sumeet Basran,Ajit Singh,Sandeep Nahar,Harwinder Singh Aujla,Rakesh Sharma,Adhrit Sharma,Vivek Saini,Harbhagwan Singh,Rajdeep Singh Dhaliwal,Gurpreet Toti,",Not Adult,2019,Regular Movie,"Action,Drama,History",3
