Sr.no,imdb_id,tags,lemmatized_tags,lemmatized_tags_str,Vectorized_Tokens
1,tt8291224,Uri The Surgical Strike  Vicky KaushalParesh RawalMohit RainaYami GautamKirti KulhariRajit KapoorIvan RodriguesManasi ParekhSwaroop SampatRiva AroraYogesh SomanFareed AhmedAkashdeep AroraKallol Banerjee 2019 Regular Movie ActionDramaWar Not Adult 1,"['Uri', 'The', 'Surgical', 'Strike', 'Vicky', 'KaushalParesh', 'RawalMohit', 'RainaYami', 'GautamKirti', 'KulhariRajit', 'KapoorIvan', 'RodriguesManasi', 'ParekhSwaroop', 'SampatRiva', 'AroraYogesh', 'SomanFareed', 'AhmedAkashdeep', 'AroraKallol', 'Banerjee', '2019', 'Regular', 'Movie', 'ActionDramaWar', 'Not', 'Adult', '1']",uri the surgical strike vicky kaushalparesh rawalmohit rainayami gautamkirti kulharirajit kapoorivan rodriguesmanasi parekhswaroop sampatriva arorayogesh somanfareed ahmedakashdeep arorakallol banerjee 2019 regular movie actiondramawar not adult 1,[0. 0. 0. ... 0. 0. 0.]
2,tt9472208,Battalion 609  Vicky AhujaShoaib IbrahimShrikant KamatElena KazanVishwas KiniMajor KishoreJashn KohliRammy C PandeyManish SharmaSparsh SharmaFarnaz ShettyVikas ShrivastavChandraprakash ThakurBrajesh Tiwari 2019 Regular Movie War Not Adult 5,"['Battalion', '609', 'Vicky', 'AhujaShoaib', 'IbrahimShrikant', 'KamatElena', 'KazanVishwas', 'KiniMajor', 'KishoreJashn', 'KohliRammy', 'C', 'PandeyManish', 'SharmaSparsh', 'SharmaFarnaz', 'ShettyVikas', 'ShrivastavChandraprakash', 'ThakurBrajesh', 'Tiwari', '2019', 'Regular', 'Movie', 'War', 'Not', 'Adult', '5']",battalion 609 vicky ahujashoaib ibrahimshrikant kamatelena kazanvishwas kinimajor kishorejashn kohlirammy c pandeymanish sharmasparsh sharmafarnaz shettyvikas shrivastavchandraprakash thakurbrajesh tiwari 2019 regular movie war not adult 5,[0. 0. 0. ... 0. 0. 0.]
3,tt6986710,The Accidental Prime Minister  Anupam KherAkshaye KhannaAahana KumraAtul SharmaManoj AnandArjun MathurSuzanne BernertAbdul Quadir AminBharat MistriDivya SethAnil RastogiRamesh BhatkarParrgash KaurJess Kaur 2019 Regular Movie BiographyDrama Not Adult 3,"['The', 'Accidental', 'Prime', 'Minister', 'Anupam', 'KherAkshaye', 'KhannaAahana', 'KumraAtul', 'SharmaManoj', 'AnandArjun', 'MathurSuzanne', 'BernertAbdul', 'Quadir', 'AminBharat', 'MistriDivya', 'SethAnil', 'RastogiRamesh', 'BhatkarParrgash', 'KaurJess', 'Kaur', '2019', 'Regular', 'Movie', 'BiographyDrama', 'Not', 'Adult', '3']",the accidental prime minister anupam kherakshaye khannaaahana kumraatul sharmamanoj anandarjun mathursuzanne bernertabdul quadir aminbharat mistridivya sethanil rastogiramesh bhatkarparrgash kaurjess kaur 2019 regular movie biographydrama not adult 3,[0. 0. 0. ... 0. 0. 0.]
4,tt8108208,Why Cheat India  Emraan HashmiShreya DhanwantharySnighdadeep ChatterjiNavneet SrivastavaNanda Yadav 2019 Regular Movie CrimeDrama Not Adult 3,"['Why', 'Cheat', 'India', 'Emraan', 'HashmiShreya', 'DhanwantharySnighdadeep', 'ChatterjiNavneet', 'SrivastavaNanda', 'Yadav', '2019', 'Regular', 'Movie', 'CrimeDrama', 'Not', 'Adult', '3']",why cheat india emraan hashmishreya dhanwantharysnighdadeep chatterjinavneet srivastavananda yadav 2019 regular movie crimedrama not adult 3,[0. 0. 0. ... 0. 0. 0.]
5,tt6028796,Evening Shadows  Mona AmbegaonkarAnanth Narayan MahadevanDevansh DoshiArpit ChaudharyYamini SinghAbhay KulkarniVeena NairDisha ThakurKala RamanathanSushant Divgikar 2018 Regular Movie Drama Not Adult 4,"['Evening', 'Shadows', 'Mona', 'AmbegaonkarAnanth', 'Narayan', 'MahadevanDevansh', 'DoshiArpit', 'ChaudharyYamini', 'SinghAbhay', 'KulkarniVeena', 'NairDisha', 'ThakurKala', 'RamanathanSushant', 'Divgikar', '2018', 'Regular', 'Movie', 'Drama', 'Not', 'Adult', '4']",evening shadows mona ambegaonkarananth narayan mahadevandevansh doshiarpit chaudharyyamini singhabhay kulkarniveena nairdisha thakurkala ramanathansushant divgikar 2018 regular movie drama not adult 4,[0. 0. 0. ... 0. 0. 0.]
6,tt6078866,Soni  Geetika Vidya OhlyanSaloni BatraVikas ShuklaMohit ChauhanHimanshu KohliGauri ChakrabortyMohinder GujralUpasya GoswamiSimrat KaurDimple KaurPrateek PachoriKalpana JhaSamar 2018 Regular Movie Drama Not Adult 3,"['Soni', 'Geetika', 'Vidya', 'OhlyanSaloni', 'BatraVikas', 'ShuklaMohit', 'ChauhanHimanshu', 'KohliGauri', 'ChakrabortyMohinder', 'GujralUpasya', 'GoswamiSimrat', 'KaurDimple', 'KaurPrateek', 'PachoriKalpana', 'JhaSamar', '2018', 'Regular', 'Movie', 'Drama', 'Not', 'Adult', '3']",soni geetika vidya ohlyansaloni batravikas shuklamohit chauhanhimanshu kohligauri chakrabortymohinder gujralupasya goswamisimrat kaurdimple kaurprateek pachorikalpana jhasamar 2018 regular movie drama not adult 3,[0. 0. 0. ... 0. 0. 0.]
7,tt5013008,Fraud Saiyyan  Arshad WarsiSaurabh ShuklaFlora SainiSara LorenVarun BadolaDeepali PansareNivedita TiwariPeeyush SuhaneyPreeti SoodParag TyagiAnangsha BiswasAmanda RosarioElli Avrram 2019 Regular Movie ComedyDrama Not Adult 5,"['Fraud', 'Saiyyan', 'Arshad', 'WarsiSaurabh', 'ShuklaFlora', 'SainiSara', 'LorenVarun', 'BadolaDeepali', 'PansareNivedita', 'TiwariPeeyush', 'SuhaneyPreeti', 'SoodParag', 'TyagiAnangsha', 'BiswasAmanda', 'RosarioElli', 'Avrram', '2019', 'Regular', 'Movie', 'ComedyDrama', 'Not', 'Adult', '5']",fraud saiyyan arshad warsisaurabh shuklaflora sainisara lorenvarun badoladeepali pansarenivedita tiwaripeeyush suhaneypreeti soodparag tyagianangsha biswasamanda rosarioelli avrram 2019 regular movie comedydrama not adult 5,[0. 0. 0. ... 0. 0. 0.]
8,tt4971258,Bombairiya  Radhika ApteAkshay OberoiSiddhanth KapoorRavi KishanAdil HussainShilpa ShuklaAjinkya DeoAmit Sial 2019 Regular Movie ComedyCrimeDrama Not Adult 5,"['Bombairiya', 'Radhika', 'ApteAkshay', 'OberoiSiddhanth', 'KapoorRavi', 'KishanAdil', 'HussainShilpa', 'ShuklaAjinkya', 'DeoAmit', 'Sial', '2019', 'Regular', 'Movie', 'ComedyCrimeDrama', 'Not', 'Adult', '5']",bombairiya radhika apteakshay oberoisiddhanth kapoorravi kishanadil hussainshilpa shuklaajinkya deoamit sial 2019 regular movie comedycrimedrama not adult 5,[0. 0. 0. ... 0. 0. 0.]
9,tt6903440,Manikarnika The Queen of Jhansi  Kangana RanautRimi SenAtul KulkarniNalneesh NeelDanny DenzongpaMishtiKulbhushan KharbandaMohammed Zeeshan AyyubAnil GeorgeVikram KochharEdward SonnenblickAnkita LokhandeRichard KeepJishu Sengupta 2019 Regular Movie ActionBiographyDrama Not Adult 3,"['Manikarnika', 'The', 'Queen', 'Jhansi', 'Kangana', 'RanautRimi', 'SenAtul', 'KulkarniNalneesh', 'NeelDanny', 'DenzongpaMishtiKulbhushan', 'KharbandaMohammed', 'Zeeshan', 'AyyubAnil', 'GeorgeVikram', 'KochharEdward', 'SonnenblickAnkita', 'LokhandeRichard', 'KeepJishu', 'Sengupta', '2019', 'Regular', 'Movie', 'ActionBiographyDrama', 'Not', 'Adult', '3']",manikarnika the queen jhansi kangana ranautrimi senatul kulkarninalneesh neeldanny denzongpamishtikulbhushan kharbandamohammed zeeshan ayyubanil georgevikram kochharedward sonnenblickankita lokhanderichard keepjishu sengupta 2019 regular movie actionbiographydrama not adult 3,[0. 0. 0. ... 0. 0. 0.]
10,tt7777196,Thackeray  Nawazuddin SiddiquiAmrita RaoAbdul Quadir AminSanjay NarvekarPrakash BelawadiVineet SharmaRadha SagarSonamoni Jayant GadekarSatish AlekarMicky MakhijaNikhil MahajanResh LambaJaywant WadkarLaxman Singh Rajput 2019 Regular Movie BiographyDrama Not Adult 3,"['Thackeray', 'Nawazuddin', 'SiddiquiAmrita', 'RaoAbdul', 'Quadir', 'AminSanjay', 'NarvekarPrakash', 'BelawadiVineet', 'SharmaRadha', 'SagarSonamoni', 'Jayant', 'GadekarSatish', 'AlekarMicky', 'MakhijaNikhil', 'MahajanResh', 'LambaJaywant', 'WadkarLaxman', 'Singh', 'Rajput', '2019', 'Regular', 'Movie', 'BiographyDrama', 'Not', 'Adult', '3']",thackeray nawazuddin siddiquiamrita raoabdul quadir aminsanjay narvekarprakash belawadivineet sharmaradha sagarsonamoni jayant gadekarsatish alekarmicky makhijanikhil mahajanresh lambajaywant wadkarlaxman singh rajput 2019 regular movie biographydrama not adult 3,[0. 0. 0. ... 0. 0. 0.]
11,tt8396186,Amavas  Ali AsgarVivan BhatenaNargis FakhriSachiin JoshiShabnam KarimzadaKevin Matadeen 2019 Regular Movie HorrorThriller Not Adult 5,"['Amavas', 'Ali', 'AsgarVivan', 'BhatenaNargis', 'FakhriSachiin', 'JoshiShabnam', 'KarimzadaKevin', 'Matadeen', '2019', 'Regular', 'Movie', 'HorrorThriller', 'Not', 'Adult', '5']",amavas ali asgarvivan bhatenanargis fakhrisachiin joshishabnam karimzadakevin matadeen 2019 regular movie horrorthriller not adult 5,[0. 0. 0. ... 0. 0. 0.]
